Rank,,Name,Team,Position,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
88,,Keke Coutee,HOU,WR,10,64,147,95.1,13.8,125,37
89,,Larry Fitzgerald,ARI,WR,12,49,160,97.6,23.1,107,18
90,,Jameis Winston,TB,QB,7,50,125,98,13.6,101,11
91,,Dede Westbrook,JAC,WR,10,52,141,98.9,14.2,110,19
92,,LeSean McCoy,BUF,RB,6,76,168,98.9,18.8,98,6
93,,Rashaad Penny,SEA,RB,11,60,134,99.8,12.9,82,-11
94,,Latavius Murray,NO,RB,9,52,146,100.3,19.7,108,14
95,,Jordan Howard,PHI,RB,10,57,177,102,20.9,75,-20
96,,Carson Wentz,PHI,QB,10,70,138,102.7,12.9,89,-7
97,,Jared Goff,LAR,QB,9,87,138,104.2,12.2,85,-12
98,,Curtis Samuel,CAR,WR,7,65,141,105.1,16.9,139,41
99,,Ben Roethlisberger,PIT,QB,7,70,168,107.3,15.1,97,-2
100,,Anthony Miller,CHI,WR,6,74,217,100.2,23.7,127,27
